teamFifaCode,teamName,playerName,firstNames,lastName,shirtName,position,shirtNumber,club,dateOfBirth,heightCm
CZE,Tchéquia,Matěj Kovář,Matej,Kovar,Kovář,GK,1,PSV Eindhoven,2000-05-17,
CZE,Tchéquia,David Zima,David,Zima,Zima,DEF,2,Slavia Prague,2000-11-08,
CZE,Tchéquia,Tomáš Holeš,Tomas,Holes,Holeš,DEF,3,Slavia Prague,1993-03-31,
CZE,Tchéquia,Robin Hranáč,Robin,Hranac,Hranáč,DEF,4,TSG Hoffenheim,2000-01-29,
CZE,Tchéquia,Vladimír Coufal,Vladimir,Coufal,Coufal,DEF,5,TSG Hoffenheim,1992-08-22,
CZE,Tchéquia,Štěpán Chaloupek,Stepan,Chaloupek,Chaloupek,DEF,6,Slavia Prague,2003-03-08,
CZE,Tchéquia,Ladislav Krejčí,Ladislav,Krejci,Krejčí,DEF,7,Wolverhampton Wanderers,1999-04-20,
CZE,Tchéquia,Vladimír Darida,Vladimir,Darida,Darida,MID,8,Hradec Králové,1990-08-08,
CZE,Tchéquia,Adam Hložek,Adam,Hlozek,Hložek,FWD,9,TSG Hoffenheim,2002-07-25,
CZE,Tchéquia,Patrik Schick,Patrik,Schick,Schick,FWD,10,Bayer Leverkusen,1996-01-24,
CZE,Tchéquia,Jan Kuchta,Jan,Kuchta,Kuchta,FWD,11,Sparta Prague,1997-01-08,
CZE,Tchéquia,Lukáš Červ,Lukas,Cerv,Červ,MID,12,Viktoria Plzeň,2001-04-10,
CZE,Tchéquia,Mojmír Chytil,Mojmir,Chytil,Chytil,FWD,13,Slavia Prague,1999-04-29,
CZE,Tchéquia,David Jurásek,David,Jurasek,Jurásek,DEF,14,Slavia Prague,2000-08-07,
CZE,Tchéquia,Pavel Šulc,Pavel,Sulc,Šulc,FWD,15,Lyon,2000-12-29,
CZE,Tchéquia,Jindřich Staněk,Jindrich,Stanek,Staněk,GK,16,Slavia Prague,1996-04-27,
CZE,Tchéquia,Lukáš Provod,Lukas,Provod,Provod,MID,17,Slavia Prague,1996-10-23,
CZE,Tchéquia,Michal Sadílek,Michal,Sadilek,Sadílek,MID,18,Slavia Prague,1999-05-31,
CZE,Tchéquia,Tomáš Chorý,Tomas,Chory,Chorý,FWD,19,Slavia Prague,1995-01-26,
CZE,Tchéquia,Jaroslav Zelený,Jaroslav,Zeleny,Zelený,DEF,20,Sparta Prague,1992-08-20,
CZE,Tchéquia,David Douděra,David,Doudera,Douděra,DEF,21,Slavia Prague,1998-05-31,
CZE,Tchéquia,Tomáš Souček,Tomas,Soucek,Souček,MID,22,West Ham United,1995-02-27,
CZE,Tchéquia,Lukáš Horníček,Lukas,Hornicek,Horníček,GK,23,Braga,2002-07-13,
CZE,Tchéquia,Alexandr Sojka,Alexandr,Sojka,Sojka,MID,24,Viktoria Plzeň,2003-04-02,
CZE,Tchéquia,Hugo Sochůrek,Hugo,Sochurek,Sochůrek,MID,25,Sparta Prague,2008-06-07,
CZE,Tchéquia,Denis Višinský,Denis,Visinsky,Višinský,FWD,26,Viktoria Plzeň,2003-03-21,
MEX,México,Raúl Rangel,Raul,Rangel,Rangel,GK,1,Guadalajara,2000-02-25,
MEX,México,Jorge Sánchez,Jorge,Sanchez,Sánchez,DEF,2,PAOK,1997-12-10,
MEX,México,César Montes,Cesar,Montes,Montes,DEF,3,Lokomotiv Moscow,1997-02-24,
MEX,México,Edson Álvarez,Edson,Alvarez,Álvarez,DEF,4,Fenerbahçe,1997-10-24,
MEX,México,Johan Vásquez,Johan,Vasquez,Vásquez,DEF,5,Genoa,1998-10-22,
MEX,México,Érik Lira,Erik,Lira,Lira,MID,6,Cruz Azul,2000-05-08,
MEX,México,Luis Romo,Luis,Romo,Romo,MID,7,Guadalajara,1995-06-05,
MEX,México,Álvaro Fidalgo,Alvaro,Fidalgo,Fidalgo,MID,8,Real Betis,1997-04-09,
MEX,México,Raúl Jiménez,Raul,Jimenez,Jiménez,FWD,9,Fulham,1991-05-05,
MEX,México,Alexis Vega,Alexis,Vega,Vega,FWD,10,Toluca,1997-11-25,
MEX,México,Santiago Giménez,Santiago,Gimenez,Giménez,FWD,11,Milan,2001-04-18,
MEX,México,Carlos Acevedo,Carlos,Acevedo,Acevedo,GK,12,Santos Laguna,1996-04-19,
MEX,México,Guillermo Ochoa,Guillermo,Ochoa,Ochoa,GK,13,AEL Limassol,1985-07-13,
MEX,México,Armando González,Armando,Gonzalez,González,FWD,14,Guadalajara,2003-04-20,
MEX,México,Israel Reyes,Israel,Reyes,Reyes,DEF,15,América,2000-05-23,
MEX,México,Julián Quiñones,Julian,Quinones,Quiñones,FWD,16,Al-Qadsiah,1997-03-24,
MEX,México,Orbelín Pineda,Orbelin,Pineda,Pineda,MID,17,AEK Athens,1996-03-24,
MEX,México,Obed Vargas,Obed,Vargas,Vargas,MID,18,Atlético Madrid,2005-08-05,
MEX,México,Gilberto Mora,Gilberto,Mora,Mora,MID,19,Tijuana,2008-10-14,
MEX,México,Mateo Chávez,Mateo,Chavez,Chávez,DEF,20,AZ,2004-05-12,
MEX,México,César Huerta,Cesar,Huerta,Huerta,FWD,21,Anderlecht,2000-12-03,
MEX,México,Guillermo Martínez,Guillermo,Martinez,Martínez,FWD,22,Pumas UNAM,1995-03-15,
MEX,México,Jesús Gallardo,Jesus,Gallardo,Gallardo,DEF,23,Toluca,1994-08-15,
MEX,México,Luis Chávez,Luis,Chavez,Chávez,MID,24,Dynamo Moscow,1996-01-15,
MEX,México,Roberto Alvarado,Roberto,Alvarado,Alvarado,FWD,25,Guadalajara,1998-09-07,
MEX,México,Brian Gutiérrez,Brian,Gutierrez,Gutiérrez,MID,26,Guadalajara,2003-06-17,
RSA,África do Sul,Ronwen Williams,Ronwen,Williams,Williams,GK,1,Mamelodi Sundowns,1992-01-21,
RSA,África do Sul,Thabang Matuludi,Thabang,Matuludi,Matuludi,DEF,2,Polokwane City,1999-01-14,
RSA,África do Sul,Khulumani Ndamane,Khulumani,Ndamane,Ndamane,DEF,3,Mamelodi Sundowns,2004-02-05,
RSA,África do Sul,Teboho Mokoena,Teboho,Mokoena,Mokoena,MID,4,Mamelodi Sundowns,1997-01-24,
RSA,África do Sul,Thalente Mbatha,Thalente,Mbatha,Mbatha,MID,5,Orlando Pirates,2000-03-06,
RSA,África do Sul,Aubrey Modiba,Aubrey,Modiba,Modiba,DEF,6,Mamelodi Sundowns,1995-07-22,
RSA,África do Sul,Oswin Appollis,Oswin,Appollis,Appollis,FWD,7,Orlando Pirates,2001-08-25,
RSA,África do Sul,Tshepang Moremi,Tshepang,Moremi,Moremi,FWD,8,Orlando Pirates,2000-10-02,
RSA,África do Sul,Lyle Foster,Lyle,Foster,Foster,FWD,9,Burnley,2000-09-03,
RSA,África do Sul,Relebohile Mofokeng,Relebohile,Mofokeng,Mofokeng,FWD,10,Orlando Pirates,2004-10-23,
